ID,Log,logDate,logDuration,logClass,success,bossNameID
181,https://dps.report/rL2e-20210913-190907_skor,2021-09-13 17:07:57,67.989,1,0,3
182,https://dps.report/PgBO-20210913-190730_skor,2021-09-13 17:06:17,71.11,1,0,3
183,https://dps.report/CpTT-20210913-190525_skor,2021-09-13 17:04:51,31.478,0,0,3
184,https://dps.report/5bu5-20210913-182046_skor,2021-09-13 16:19:43,60.764,1,0,3
185,https://dps.report/YWCp-20210913-182224_skor,2021-09-13 16:21:09,72.183,0,0,3
186,https://dps.report/d23D-20210913-182532_skor,2021-09-13 16:24:29,60.868,1,0,3
191,https://dps.report/NIh8-20210913-182937_skor,2021-09-13 16:28:11,73.547,1,1,3
195,https://dps.report/ktFg-20210915-181416_ai,2021-09-15 16:14:09,5.85,1,0,4
196,https://dps.report/krSQ-20210915-184509_ai,2021-09-15 16:43:47,68.307,1,1,4
197,https://dps.report/1bUp-20210915-184314_ai,2021-09-15 16:42:29,44.291,1,0,4
198,https://dps.report/91Na-20210915-183934_ai,2021-09-15 16:38:31,62.789,1,0,4
199,https://dps.report/mzZl-20210915-183754_ai,2021-09-15 16:37:47,6.086,1,0,4
200,https://dps.report/bk5v-20210915-183747_ai,2021-09-15 16:37:36,10.591,1,0,4
201,https://dps.report/4EUu-20210915-183656_ai,2021-09-15 16:36:12,43.301,1,0,4
202,https://dps.report/X8YS-20210915-183539_ai,2021-09-15 16:34:51,47.793,1,0,4
203,https://dps.report/umm1-20210915-183419_ai,2021-09-15 16:33:30,48.389,1,0,4
204,https://dps.report/3pKM-20210915-183239_ai,2021-09-15 16:31:55,43.885,1,0,4
205,https://dps.report/Td4h-20210915-182916_ai,2021-09-15 16:28:26,49.794,1,0,4
206,https://dps.report/GBbj-20210915-182758_ai,2021-09-15 16:27:45,12.483,1,0,4
207,https://dps.report/Easr-20210915-182340_ai,2021-09-15 16:22:33,66.899,1,0,4
208,https://dps.report/WhIG-20210915-182107_ai,2021-09-15 16:20:58,8.398,1,0,4
209,https://dps.report/APqR-20210915-182030_ai,2021-09-15 16:20:21,8.397,1,0,4
210,https://dps.report/NGKB-20210915-181944_ai,2021-09-15 16:19:36,7.631,1,0,4
211,https://dps.report/DJFu-20210915-181936_ai,2021-09-15 16:19:15,20.193,1,0,4
212,https://dps.report/R6FW-20210915-181844_ai,2021-09-15 16:17:59,43.701,1,0,4
